Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,39922,39953,41470,42372,42652,44787,44016,45527,44918,45860,45094,45361,44861,43854,42701,42581,43536,43491,44247,43018,36910,33053,24003,18274,18549,16826,17680,17320,16682,15427,15192,15756,15136,17092,17439,17664,16031,20512,18976,15439,18549,20198,20197,20789,19440
Ethiopia,1433,1442,1338,1442,1451,1301,1286,1309,1353,1423,1466,1613,1478,1570,1480,1539,1818,2087,2178,2288,2397,2419,1614,2074,2387,2702,3053,3178,3376,3322,3706,4591,4727,5093,5493,5303,5663,6158,6609,6610,6283,6856,7813,8659,8858
Falkland Islands (Malvinas),7,7,10,10,9,12,10,11,9,9,9,12,12,13,14,14,16,17,30,29,25,24,23,21,22,26,30,27,23,22,25,26,28,27,31,31,31,34,35,35,37,41,41,41,42
Faroe Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Fiji,240,243,223,251,278,274,285,446,735,714,646,725,628,659,536,523,484,502,495,541,583,534,476,502,549,597,647,502,516,538,533,557,641,767,839,885,945,936,1014,1035,1162,1242,1286,1306,1345
Finland,43680,42932,46925,51541,48017,47483,53538,53084,57647,57436,57977,48572,46826,45241,46588,51043,51143,55798,54416,54428,56515,57202,54406,55653,63909,61018,67325,65191,61337,60624,59817,65409,67713,76101,72343,59803,71667,69091,60904,58522,66895,59176,57680,58834,54793
France,461933,474698,492239,528841,511612,471936,514557,497656,514707,522590,502610,452230,430267,412084,400472,389800,377717,371142,371258,386597,381778,405457,394510,374752,369194,377332,392248,383867,410265,404193,399021,405501,400498,407068,407048,410407,400824,394433,391650,372062,381852,353508,351797,352957,323744
French Guiana,242,247,280,312,248,338,302,323,357,316,311,273,319,336,320,324,390,435,548,582,666,813,690,797,794,896,930,916,881,907,848,907,925,970,996,987,1001,1062,1061,1090,1205,1244,1261,1258,1271
French Polynesia,34,34,39,55,63,65,69,124,139,137,125,213,271,366,473,436,527,579,536,478,449,428,399,411,281,341,361,370,420,423,449,489,491,579,622,641,595,582,600,613,683,738,759,768,793
Gabon,637,1150,1237,3851,3950,5088,5902,5835,6489,6394,6145,6467,6449,5921,6848,7830,5679,4901,5133,6255,6166,4929,4967,5066,5030,5656,6318,6034,6909,6539,6494,6732,6464,7334,6590,6516,5806,5244,5575,5575,5639,5162,5098,5004,5027
Gambia,37,37,37,43,44,46,60,64,69,82,83,84,76,79,84,88,95,123,113,107,100,113,111,114,117,123,125,143,136,141,150,165,162,172,175,177,186,201,211,209,226,236,242,252,259
